,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300750.SZ,20231229,163.98,165.0,162.0,163.26,162.99,0.27,0.1657,226837.82,3707101.874
1,600519.SH,20231229,1720.0,1749.58,1720.0,1726.0,1724.99,1.01,0.0586,27538.68,4768857.531
2,300750.SZ,20231228,154.22,163.16,153.57,162.99,154.33,8.66,5.6114,378501.79,6079407.755
3,600519.SH,20231228,1670.99,1727.99,1667.06,1724.99,1667.06,57.93,3.475,38338.06,6537401.38
4,300750.SZ,20231227,157.53,158.0,153.87,154.33,156.13,-1.8,-1.1529,173564.6,2686313.989
5,600519.SH,20231227,1668.0,1677.15,1661.0,1667.06,1670.0,-2.94,-0.176,16055.5,2679221.365
6,300750.SZ,20231226,156.97,157.5,154.74,156.13,157.54,-1.41,-0.895,127672.52,1994477.782
7,600519.SH,20231226,1672.5,1674.9,1657.5,1670.0,1672.0,-2.0,-0.1196,14771.26,2457177.339
8,300750.SZ,20231225,155.5,157.88,154.8,157.54,156.29,1.25,0.7998,130056.08,2036117.775
9,600519.SH,20231225,1671.0,1678.6,1668.0,1672.0,1670.65,1.35,0.0808,12471.06,2086014.39
10,300750.SZ,20231222,153.5,158.41,152.2,156.29,154.39,1.9,1.2306,280321.27,4359921.762
11,600519.SH,20231222,1669.7,1679.1,1658.01,1670.65,1670.0,0.65,0.0389,21666.84,3613238.325
12,300750.SZ,20231221,147.57,155.33,147.57,154.39,148.45,5.94,4.0013,421315.01,6433383.993
13,600519.SH,20231221,1640.01,1672.32,1640.01,1670.0,1649.79,20.21,1.225,29011.68,4827827.888
14,300750.SZ,20231220,149.2,151.2,148.32,148.45,149.0,-0.55,-0.3691,212493.68,3174602.188
15,600519.SH,20231220,1658.0,1660.0,1643.0,1649.79,1655.89,-6.1,-0.3684,23092.03,3816133.219
16,300750.SZ,20231219,146.31,149.98,146.27,149.0,146.97,2.03,1.3812,251851.81,3734066.913
17,600519.SH,20231219,1665.0,1679.87,1645.09,1675.0,1662.0,13.0,0.7822,22206.76,3706057.587
18,300750.SZ,20231218,153.11,153.69,146.28,146.97,155.0,-8.03,-5.1806,429129.2,6398809.829
19,600519.SH,20231218,1640.0,1663.33,1635.0,1662.0,1645.0,17.0,1.0334,19897.34,3292194.757
20,300750.SZ,20231215,157.2,158.68,154.6,155.0,156.63,-1.63,-1.0407,202046.35,3158101.585
21,600519.SH,20231215,1648.23,1677.77,1644.01,1645.0,1635.9,9.1,0.5563,37092.51,6140791.726
22,300750.SZ,20231214,160.88,161.49,156.44,156.63,159.35,-2.72,-1.7069,227514.0,3596263.196
23,600519.SH,20231214,1665.96,1669.87,1635.02,1635.9,1660.0,-24.1,-1.4518,40672.15,6703240.107
24,300750.SZ,20231213,162.55,163.59,158.71,159.35,163.63,-4.28,-2.6157,252593.99,4045085.654
25,600519.SH,20231213,1705.22,1705.72,1657.08,1660.0,1709.99,-49.99,-2.9234,38788.7,6480807.5
26,300750.SZ,20231212,164.0,165.22,162.98,163.63,165.35,-1.72,-1.0402,147338.77,2415527.909
27,600519.SH,20231212,1687.6,1709.99,1684.0,1709.99,1698.0,11.99,0.7061,21010.66,3564305.866
28,300750.SZ,20231211,162.01,165.69,160.16,165.35,163.59,1.76,1.0759,214895.69,3497265.74
29,600519.SH,20231211,1690.0,1704.0,1657.0,1698.0,1704.92,-6.92,-0.4059,36830.98,6172810.248
30,300750.SZ,20231208,165.0,166.33,163.12,163.59,164.49,-0.9,-0.5471,245020.47,4030383.347
31,600519.SH,20231208,1700.0,1708.84,1692.22,1704.92,1700.0,4.92,0.2894,26288.01,4474160.126
32,300750.SZ,20231207,162.0,166.36,161.6,164.49,162.88,1.61,0.9885,269084.27,4410841.808
33,600519.SH,20231207,1704.0,1709.08,1687.3,1700.0,1703.0,-3.0,-0.1762,25041.5,4249170.906
34,300750.SZ,20231206,158.65,166.86,158.22,162.88,158.81,4.07,2.5628,367692.76,6024339.62
35,600519.SH,20231206,1702.63,1719.47,1701.13,1703.0,1709.0,-6.0,-0.3511,23851.29,4078003.022
36,300750.SZ,20231205,160.15,162.37,158.65,158.81,161.65,-2.84,-1.7569,248077.39,3978910.664
37,600519.SH,20231205,1748.78,1748.88,1708.02,1709.0,1750.71,-41.71,-2.3825,29903.01,5168983.317
38,300750.SZ,20231204,163.5,164.44,161.24,161.65,165.5,-3.85,-2.3263,239304.01,3892529.225
39,600519.SH,20231204,1760.28,1761.83,1745.28,1750.71,1760.28,-9.57,-0.5437,18440.47,3233102.118
40,300750.SZ,20231201,167.29,167.7,164.43,165.5,167.0,-1.5,-0.8982,169622.09,2816101.715
41,600519.SH,20231201,1789.31,1789.7,1748.0,1760.28,1791.5,-31.22,-1.7427,33051.31,5830850.111
42,300750.SZ,20231130,165.22,168.66,164.49,167.0,166.85,0.15,0.0899,230271.61,3834512.349
43,600519.SH,20231130,1776.72,1794.76,1771.08,1791.5,1774.71,16.79,0.9461,21353.42,3817513.545
44,300750.SZ,20231129,171.0,171.38,166.37,166.85,171.92,-5.07,-2.949,251885.27,4235346.582
45,600519.SH,20231129,1768.0,1776.0,1758.0,1774.71,1769.04,5.67,0.3205,17149.33,3034175.614
46,300750.SZ,20231128,170.03,171.97,168.87,171.92,170.7,1.22,0.7147,202107.3,3443539.75
47,600519.SH,20231128,1761.0,1773.88,1758.0,1769.04,1763.0,6.04,0.3426,14519.76,2562905.659
48,300750.SZ,20231127,174.29,174.5,170.6,170.7,175.0,-4.3,-2.4571,184220.07,3161041.988
49,600519.SH,20231127,1773.3,1773.3,1755.0,1763.0,1777.0,-14.0,-0.7878,16260.74,2865075.217
50,300750.SZ,20231124,177.03,178.2,174.5,175.0,177.7,-2.7,-1.5194,166212.48,2918741.661
51,600519.SH,20231124,1789.0,1789.0,1775.0,1777.0,1786.0,-9.0,-0.5039,13085.4,2329345.658
52,300750.SZ,20231123,176.01,177.7,174.89,177.7,177.0,0.7,0.3955,157202.53,2771265.525
53,600519.SH,20231123,1778.3,1788.0,1771.0,1786.0,1781.51,4.49,0.252,11549.64,2055272.193
54,300750.SZ,20231122,179.55,181.3,177.0,177.0,180.61,-3.61,-1.9988,186885.69,3332638.164
55,600519.SH,20231122,1783.3,1794.35,1780.54,1781.51,1790.0,-8.49,-0.4743,12664.57,2263460.167
56,300750.SZ,20231121,182.0,184.0,180.01,180.61,180.3,0.31,0.1719,197662.21,3601130.91
57,600519.SH,20231121,1783.42,1798.0,1770.1,1790.0,1762.5,27.5,1.5603,30098.45,5383107.81
58,300750.SZ,20231120,180.74,181.8,179.01,180.3,180.73,-0.43,-0.2379,124087.19,2235037.633
59,600519.SH,20231120,1755.0,1769.5,1736.66,1762.5,1753.42,9.08,0.5178,18608.04,3265514.01
60,300750.SZ,20231117,179.85,181.25,179.49,180.73,181.15,-0.42,-0.2319,110840.35,2000359.414
61,600519.SH,20231117,1752.0,1759.0,1737.9,1753.42,1760.05,-6.63,-0.3767,21713.63,3793781.119
62,300750.SZ,20231116,185.48,185.49,180.1,181.15,184.48,-3.33,-1.8051,174662.0,3180032.495
63,600519.SH,20231116,1774.0,1776.0,1760.05,1760.05,1772.93,-12.88,-0.7265,12557.57,2215937.273
64,300750.SZ,20231115,186.89,188.59,183.58,184.48,183.68,0.8,0.4355,238071.91,4423251.195
65,600519.SH,20231115,1779.0,1782.89,1767.0,1772.93,1765.27,7.66,0.4339,18434.86,3271230.275
66,300750.SZ,20231114,187.85,188.8,183.0,183.68,187.85,-4.17,-2.2199,234882.84,4346598.777
67,600519.SH,20231114,1764.0,1774.99,1760.01,1765.27,1764.0,1.27,0.072,12816.75,2263963.957
68,300750.SZ,20231113,192.0,192.2,187.02,187.85,189.03,-1.18,-0.6242,125195.95,2362258.976
69,600519.SH,20231113,1772.28,1784.88,1756.98,1764.0,1775.84,-11.84,-0.6667,18369.95,3244573.621
70,300750.SZ,20231110,189.0,189.97,188.05,189.03,191.45,-2.42,-1.264,116099.56,2189830.819
71,600519.SH,20231110,1780.55,1788.0,1773.1,1775.84,1794.11,-18.27,-1.0183,16465.57,2928380.668
72,300750.SZ,20231109,190.63,192.58,190.53,191.45,191.84,-0.39,-0.2033,109970.97,2104229.338
73,600519.SH,20231109,1790.11,1799.0,1783.0,1794.11,1798.34,-4.23,-0.2352,12800.48,2291996.819
74,300750.SZ,20231108,190.18,192.94,190.0,191.84,191.24,0.6,0.3137,146521.66,2809047.605
75,600519.SH,20231108,1784.05,1803.8,1782.87,1798.34,1791.17,7.17,0.4003,14545.67,2610041.959
76,300750.SZ,20231107,195.99,196.11,190.12,191.24,197.08,-5.84,-2.9633,260802.93,5008846.046
77,600519.SH,20231107,1805.0,1810.0,1784.08,1791.17,1812.0,-20.83,-1.1496,19581.59,3511590.028
78,300750.SZ,20231106,188.57,197.1,188.45,197.08,187.44,9.64,5.143,349684.3,6798069.247
79,600519.SH,20231106,1820.0,1823.79,1801.12,1812.0,1811.24,0.76,0.042,25523.92,4624102.375
80,300750.SZ,20231103,186.0,188.68,184.6,187.44,185.57,1.87,1.0077,143654.5,2683301.612
81,600519.SH,20231103,1780.0,1814.89,1774.0,1811.24,1779.5,31.74,1.7836,30176.0,5433116.881
82,300750.SZ,20231102,188.5,189.88,185.57,185.57,187.54,-1.97,-1.0504,137626.77,2577685.559
83,600519.SH,20231102,1795.0,1795.0,1776.06,1779.5,1780.99,-1.49,-0.0837,27907.64,4982090.753
84,300750.SZ,20231101,185.79,190.3,184.5,187.54,185.6,1.94,1.0453,197272.65,3695120.176
85,600519.SH,20231101,1850.0,1850.0,1773.79,1780.99,1684.58,96.41,5.7231,93143.08,16747292.689
86,300750.SZ,20231031,186.68,187.22,184.6,185.6,188.02,-2.42,-1.2871,181525.35,3369355.372
87,600519.SH,20231031,1680.0,1690.0,1667.85,1684.58,1681.0,3.58,0.213,19858.77,3335804.699
88,300750.SZ,20231030,187.0,189.88,184.8,188.02,184.72,3.3,1.7865,322594.92,6050993.029
89,600519.SH,20231030,1669.0,1688.88,1669.0,1681.0,1676.71,4.29,0.2559,24086.42,4050573.178
90,300750.SZ,20231027,177.85,185.88,176.02,184.72,178.07,6.65,3.7345,477952.83,8729936.698
