,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
0,513870.SH,纳斯达克指数ETF,富国基金,招商银行,股票型,20231025,,20231102,20231016,,2.3767,0.5,0.1,,1.0,0.1,,纳斯达克100指数收益率(经汇率调整后),I,被动指数型,契约型开放式,,20231102,20231102,E
1,517520.SH,N黄金股ETF,永赢基金,中国农业银行,股票型,20231024,,20231101,20231016,,3.389,0.5,0.1,,1.0,0.1,,中证沪深港黄金产业股票指数收益率,L,被动指数型,契约型开放式,,20231101,20231101,E
2,561360.SH,石油ETF,国泰基金,中国邮政储蓄银行,股票型,20231023,,20231031,20231012,,2.7615,0.5,0.1,,1.0,0.1,,中证油气产业指数收益率,L,被动指数型,契约型开放式,,20231031,20231031,E
3,159520.SZ,消费龙头ETF,工银瑞信基金,浦发银行,股票型,20231019,,20231031,20230911,,2.5318,0.5,0.07,,1.0,0.1,,中证消费龙头指数收益率,L,被动指数型,契约型开放式,,20231031,20231031,E
4,560280.SH,工程机械ETF,广发基金,招商银行,股票型,20231018,,20231030,20231009,,4.5275,0.5,0.1,,1.0,0.1,,中证工程机械主题指数收益率,L,被动指数型,契约型开放式,,20231030,20231030,E
5,159541.SZ,创业板综ETF万家,万家基金,中国工商银行,股票型,20231018,,20231031,20231009,,3.2109,0.5,0.1,,1.0,0.1,,创业板综合指数收益率,L,被动指数型,契约型开放式,,20231031,20231031,E
6,508007.SH,中金山东高速REIT,中金基金,平安银行,REITs,20231016,,20231027,20231010,,4.0,0.1,0.01,19.0,1.0,0.1,,,L,,契约型封闭式,,,,E
7,159546.SZ,集成电路ETF,国泰基金,中信建投证券,股票型,20231011,,20231020,20230922,,4.0631,0.5,0.1,,1.0,0.1,,中证全指集成电路指数收益率,L,被动指数型,契约型开放式,,20231020,20231020,E
8,562590.SH,半导体材料ETF,华夏基金,中信建投证券,股票型,20231009,,20231018,20230920,,2.2966,0.5,0.1,,1.0,0.1,,中证半导体材料设备主题指数收益率,L,被动指数型,契约型开放式,,20231018,20231018,E
9,563200.SH,中证2000指数ETF,富国基金,广发证券,股票型,20230928,,20231018,20230918,,8.2346,0.5,0.1,,1.0,0.1,,中证2000指数收益率,L,被动指数型,契约型开放式,,20231018,20231018,E
10,562030.SH,信创ETF基金,华宝基金,中国建设银行,股票型,20230926,,20231012,20230904,,2.8799,0.5,0.1,,1.0,0.1,,中证信息技术应用创新产业指数收益率,L,被动指数型,契约型开放式,,20231012,20231012,E
11,560020.SH,红利ETF添富,汇添富基金,招商银行,股票型,20230926,,20231016,20230801,,3.3756,0.5,0.1,,1.0,0.1,,中证红利指数收益率,L,被动指数型,契约型开放式,,20231016,20231016,E
12,513190.SH,港股通金融ETF,华夏基金,招商银行,股票型,20230925,,20231011,20230828,,2.0894,0.5,0.1,,1.0,0.1,,经估值汇率调整后的中证港股通内地金融指数收益率,L,被动指数型,契约型开放式,,20231011,20231011,E
13,159537.SZ,信创ETF,国泰基金,中国邮政储蓄银行,股票型,20230920,,20231010,20230911,,3.5164,0.5,0.1,,1.0,0.1,,国证信息技术创新主题指数收益率,L,被动指数型,契约型开放式,,20231010,20231010,E
14,159540.SZ,信创ETF指数,易方达基金,中国工商银行,股票型,20230920,,20230928,20230901,,2.1551,0.5,0.1,,1.0,0.1,,国证信息技术创新主题指数收益率,L,被动指数型,契约型开放式,,20230928,20230928,E
15,159539.SZ,信创50ETF,广发基金,中信银行,股票型,20230920,,20230928,20230901,,2.8657,0.5,0.1,,1.0,0.1,,同期国证信息技术创新主题指数收益率,L,被动指数型,契约型开放式,,20230928,20230928,E
16,159538.SZ,信创指数ETF,富国基金,平安银行,股票型,20230914,,20230922,20230904,,3.393,0.5,0.1,,1.0,0.1,,国证信息技术创新主题指数收益率,L,被动指数型,契约型开放式,,20230922,20230922,E
17,159535.SZ,中证2000ETF指数,嘉实基金,中信证券,股票型,20230914,,20230922,20230901,,4.9098,0.5,0.1,,1.0,0.1,,中证2000指数收益率,L,被动指数型,契约型开放式,,20230922,20230922,E
18,159522.SZ,2000ETF基金,景顺长城基金,广发证券,股票型,20230913,,20231016,20230904,,3.739,0.5,0.1,,1.0,0.1,,国证2000指数收益率,L,被动指数型,契约型开放式,,20231016,20231016,E
19,159532.SZ,中证2000指数ETF,易方达基金,国泰君安,股票型,20230913,,20230921,20230901,,8.1156,0.15,0.05,,1.0,0.1,,中证2000指数收益率,L,被动指数型,契约型开放式,,20230921,20230921,E
20,159536.SZ,中证2000ETF添富,汇添富基金,招商银行,股票型,20230913,,20230921,20230901,,12.1326,0.5,0.1,,1.0,0.1,,中证2000指数收益率,L,被动指数型,契约型开放式,,20230921,20230921,E
