trade_date,002415.SZ,159920.SZ,300059.SZ,300750.SZ,510050.SH,510300.SH,510500.SH,511010.SH,513030.SH,513300.SH,513500.SH,513520.SH,518880.SH,600519.SH,688981.SH,019547.SH
2023/1/3,34.29,1.127,19.27,389.64,2.651,3.949,5.97,129.067,1.028,1.007,1.25,1.028,3.987,1730.01,41.54,99.273
2023/1/4,33.92,1.161,19.35,384.01,2.66,3.954,5.968,129.288,1.034,1.005,1.245,1.019,4.002,1725.01,41.92,99.697
2023/1/5,34.35,1.176,20.37,407.51,2.71,4.029,6.027,129.221,1.051,1.008,1.246,1.016,4.001,1801,41.87,99.764
2023/1/6,33.75,1.17,20.37,416.66,2.725,4.045,6.04,128.957,1.042,1.001,1.238,1.015,3.972,1803.77,41.68,99.646
2023/1/9,33.07,1.179,21.07,416.6,2.75,4.07,6.052,128.96,1.059,1.012,1.254,1.024,4.015,1841.2,41.53,99.575
2023/1/10,33.34,1.176,21,432,2.742,4.076,6.067,128.885,1.067,1.008,1.248,1.021,4.013,1854.45,41.56,99.432
2023/1/11,32.89,1.182,20.91,427.86,2.748,4.076,6.039,128.75,1.083,1.01,1.256,1.029,4.025,1844.95,41.18,99.332
2023/1/12,32.66,1.172,21.1,433.5,2.754,4.082,6.033,128.785,1.088,1.017,1.264,1.028,4.019,1834,40.82,99.488
2023/1/13,33.64,1.19,21.75,439.5,2.799,4.144,6.084,128.813,1.099,1.014,1.261,1.027,4.027,1887,41.3,99.457
2023/1/16,34.67,1.177,22.52,446.63,2.847,4.143,6.143,128.71,1.096,1.013,1.262,1.023,4.05,1912.9,41.92,99.018
2023/1/17,34.75,1.18,22.8,445.61,2.838,4.139,6.151,128.719,1.1,1.011,1.267,1.037,4.066,1908,42.1,99.129
2023/1/18,35.16,1.185,22.67,448.5,2.819,4.13,6.175,128.7,1.108,1.014,1.273,1.047,4.056,1893,42,99.092
2023/1/19,36.79,1.188,23.34,446.77,2.829,4.158,6.232,128.729,1.098,1.003,1.248,1.048,4.068,1880.21,42.5,99.133
2023/1/20,36.73,1.205,23.23,452,2.848,4.181,6.277,128.854,1.101,1.012,1.25,1.05,4.101,1860.01,42.59,99.278
2023/1/30,37.05,1.212,22.9,470.65,2.849,4.205,6.298,128.854,1.1,1.042,1.284,1.068,4.096,1888,42.37,99.231
2023/1/31,35.85,1.182,22.49,465.2,2.819,4.159,6.303,128.838,1.095,1.026,1.273,1.058,4.069,1845.76,41.86,99.323
2023/2/1,36.25,1.2,23.36,476.8,2.83,4.19,6.375,128.887,1.106,1.037,1.29,1.06,4.091,1844.97,43.46,99.333
2023/2/2,36.39,1.198,22.7,466.1,2.824,4.18,6.385,128.972,1.124,1.062,1.303,1.07,4.125,1836.11,43.42,99.383
2023/2/3,36.7,1.177,22.58,456.2,2.783,4.137,6.357,129.018,1.135,1.075,1.314,1.078,4.071,1818,43.33,99.478
2023/2/6,36.52,1.156,21.92,450.6,2.739,4.08,6.328,128.956,1.12,1.072,1.309,1.066,4.018,1795,43,99.545
2023/2/7,37.26,1.164,22.1,448.1,2.747,4.09,6.331,128.975,1.113,1.072,1.311,1.061,4.01,1797,43.18,99.5
2023/2/8,36.9,1.164,21.73,447.21,2.74,4.073,6.285,129.018,1.118,1.09,1.325,1.068,4.01,1784,42.62,99.446
2023/2/9,37.73,1.181,22.25,452.99,2.769,4.127,6.376,129.028,1.125,1.079,1.32,1.068,4.019,1818,43.6,99.457
2023/2/10,36.7,1.163,21.97,445.95,2.757,4.103,6.356,129.079,1.12,1.063,1.302,1.069,3.993,1810,43.07,99.493
2023/2/13,36.6,1.164,22.18,460,2.775,4.135,6.394,129.089,1.109,1.058,1.309,1.062,4.018,1856.35,42.98,99.496
2023/2/14,36.18,1.164,22.04,451.05,2.786,4.144,6.411,129.093,1.12,1.076,1.326,1.066,4.015,1843.79,43.03,99.5
2023/2/15,36.18,1.149,21.66,448.6,2.76,4.116,6.399,129.099,1.117,1.078,1.323,1.056,4.002,1841,42.86,99.517
2023/2/16,37.39,1.163,21.55,443.2,2.75,4.087,6.314,129.087,1.137,1.099,1.338,1.061,4.001,1861.82,41.98,99.588
2023/2/17,36.51,1.15,20.95,420.19,2.721,4.029,6.26,129.102,1.125,1.07,1.316,1.05,3.992,1820.78,41.81,99.62
2023/2/20,38.7,1.16,21.99,420.47,2.798,4.134,6.358,129.008,1.14,1.071,1.317,1.054,4.01,1875,42.26,99.493
2023/2/21,38.76,1.144,22.13,415.01,2.812,4.139,6.395,128.967,1.132,1.068,1.313,1.051,4.005,1867,42.35,99.502
2023/2/22,38.17,1.138,21.75,409.47,2.775,4.099,6.389,128.992,1.119,1.051,1.298,1.04,4.017,1836,42.3,99.597
2023/2/23,37.74,1.133,21.8,413.23,2.774,4.099,6.378,128.99,1.128,1.058,1.3,1.039,4.008,1818,42.16,99.646
2023/2/24,37.68,1.124,20.9,405.4,2.736,4.06,6.364,128.993,1.135,1.061,1.307,1.058,4.021,1788,41.97,99.614
2023/2/27,37.22,1.121,20.63,401.1,2.733,4.045,6.331,128.972,1.113,1.055,1.301,1.052,4.01,1810.41,41.63,99.358
2023/2/28,38.38,1.118,20.92,403.9,2.746,4.071,6.372,128.954,1.125,1.057,1.301,1.05,4.015,1813.74,42.02,99.519
2023/3/1,39.81,1.15,21.28,411.78,2.777,4.12,6.411,128.963,1.126,1.053,1.291,1.049,4.029,1838.53,42.37,99.501
2023/3/2,39.4,1.144,21.07,400.8,2.776,4.115,6.404,128.991,1.114,1.037,1.278,1.042,4.026,1828,42.46,99.479
2023/3/3,39.37,1.155,21.35,402.32,2.779,4.124,6.401,128.974,1.122,1.049,1.292,1.057,4.044,1818.04,43.32,99.481
2023/3/6,39.9,1.156,20.96,408.42,2.749,4.099,6.403,129.063,1.144,1.075,1.316,1.076,4.071,1807.14,43.4,99.562
2023/3/7,38.92,1.15,20.06,402.2,2.718,4.042,6.303,129.163,1.157,1.078,1.32,1.081,4.076,1788.3,42.73,99.664
2023/3/8,39,1.132,20.14,397.73,2.697,4.026,6.313,129.232,1.136,1.067,1.304,1.077,4.033,1770.42,42.84,99.704
2023/3/9,38.32,1.13,20,397.01,2.678,4.016,6.306,129.251,1.144,1.074,1.307,1.092,4.033,1770.02,43.27,99.881
2023/3/10,37.81,1.092,19.88,405.79,2.642,3.961,6.226,129.3,1.129,1.048,1.275,1.078,4.061,1750,43,100.101
2023/3/13,39.21,1.1,20.1,392,2.669,4.005,6.261,129.295,1.141,1.052,1.277,1.068,4.089,1762,43.6,99.986
2023/3/14,38.9,1.067,19.97,387.23,2.651,3.98,6.21,129.338,1.093,1.036,1.251,1.047,4.142,1766,48.01,100.077
2023/3/15,39.08,1.086,20.01,388,2.652,3.979,6.242,129.307,1.121,1.062,1.272,1.05,4.139,1750.92,48.88,100.149
2023/3/16,38.01,1.069,19.72,385.11,2.627,3.933,6.165,129.366,1.096,1.067,1.264,1.051,4.174,1751.99,49.31,100.387
2023/3/17,40.35,1.081,20.31,375.98,2.637,3.954,6.201,129.436,1.095,1.097,1.281,1.06,4.198,1742,52.57,100.706
2023/3/20,41.26,1.053,19.98,379.95,2.62,3.932,6.182,129.521,1.065,1.086,1.259,1.057,4.327,1729.6,51.81,100.864
2023/3/21,41,1.074,20.18,393.78,2.647,3.975,6.247,129.459,1.102,1.096,1.281,1.064,4.286,1775,52.11,100.735
