,600519.SH,300750.SZ,300059.SZ,688981.SH,002415.SZ,019547.SH,510050.SH,510300.SH,510500.SH,513500.SH,513300.SH,513030.SH,513520.SH,511010.SH,518880.SH,159920.SZ
2023/1/3,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/1/4,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/1/5,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/1/6,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/1/9,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/1/10,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/1/11,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/1/12,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/1/13,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/1/16,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/1/17,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/1/18,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/1/19,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/1/20,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/1/30,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/1/31,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/1,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/2,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/3,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/6,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/7,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/8,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/9,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/10,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/13,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/14,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/15,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/16,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/17,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/20,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/21,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/22,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/23,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/24,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/27,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/2/28,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/3/1,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/3/2,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/3/3,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/3/6,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/3/7,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/3/8,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/3/9,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/3/10,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/3/13,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
2023/3/14,0.033353262,0.028393558,0.029030091,0.030736789,0.028849992,0.385859284,0.038636352,0.038675638,0.038607038,0.038658556,0.038643966,0.038646498,0.038636565,0.038656643,0.096644225,0.057971544
