日期,aum,return,,日期,投资组合净值,日收益,
2023/1/3,115.9879089,,,2023/1/3,5333095.622,,
2023/1/4,115.8402603,-0.001273776,,2023/1/4,5326306.778,-0.001273776,
2023/1/5,119.1143441,0.027871731,,2023/1/5,5476848.35,0.027871731,
2023/1/6,119.3852305,0.002271589,,2023/1/6,5489303.639,0.002271589,
2023/1/9,120.6098739,0.010205658,,2023/1/9,5545612.441,0.010205658,
2023/1/10,121.4376094,0.006839474,,2023/1/10,5583671.515,0.006839474,
2023/1/11,120.9340967,-0.004154886,,2023/1/11,5560520.124,-0.004154886,
2023/1/12,120.7781871,-0.001290042,,2023/1/12,5553351.443,-0.001290042,
2023/1/13,122.775365,0.016400686,,2023/1/13,5645181.192,0.016400686,
2023/1/16,123.7447046,0.007864224,,2023/1/16,5689751.188,0.007864224,
2023/1/17,123.6137977,-0.001058439,,2023/1/17,5683732.12,-0.001058439,
2023/1/18,123.185737,-0.003468897,,2023/1/18,5664049.995,-0.003468897,
2023/1/19,122.8120774,-0.003037912,,2023/1/19,5646869.218,-0.003037912,
2023/1/20,122.3536175,-0.003740004,,2023/1/20,5625789.346,-0.003740004,
2023/1/30,123.7963005,0.01172212,,2023/1/30,5692123.554,0.01172212,
2023/1/31,122.1966794,-0.013005604,,2023/1/31,5618573.371,-0.013005604,
2023/2/1,122.6005814,0.003299893,,2023/2/1,5637144.685,0.003299893,
2023/2/2,122.012977,-0.004804358,,2023/2/2,5610126.778,-0.004804358,
2023/2/3,121.1598791,-0.00701642,,2023/2/3,5570901.546,-0.00701642,
2023/2/6,120.2099938,-0.007870827,,2023/2/6,5527226.052,-0.007870827,
2023/2/7,120.2213101,9.41E-05,,2023/2/7,5527746.376,9.41E-05,
2023/2/8,119.7039302,-0.00431285,,2023/2/8,5503957.373,-0.00431285,
2023/2/9,121.0840797,0.011463732,,2023/2/9,5567416.31,0.011463732,
2023/2/10,120.571902,-0.004238906,,2023/2/10,5543866.504,-0.004238906,
