,port,mas,mmv
600519.SH,0.033353262,0.0,0.0
300750.SZ,0.028393558,0.0,0.0001432160646391
300059.SZ,0.029030091,0.0,0.0017742884582371
688981.SH,0.030736789,0.0162383254788591,0.0
002415.SZ,0.028849992,0.0,0.0
019547.SH,0.385859284,0.605694375991695,0.0
510050.SH,0.038636352,0.0,0.0167658240040637
510300.SH,0.038675638,0.0,0.0
510500.SH,0.038607038,0.0,0.0105331371806854
513500.SH,0.038658556,0.0,0.0
513300.SH,0.038643966,0.1893909950889157,0.0
513030.SH,0.038646498,0.0,0.0
513520.SH,0.038636565,0.0,0.0045841261194218
511010.SH,0.038656643,0.0,0.9533959020323254
518880.SH,0.096644225,0.1886763034405303,0.0093722652634463
159920.SZ,0.057971544,0.0,0.0034312408771812
